,Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition,area_qual,hood_qual,year_qual,basement,fullar_qual,garage_square,base_ground
34,35,120,3,60.0,7313,1,3,3,0,4,0,16,2,2,4,2,9,5,2005,2005,3,1,8,8,1,246.0,0,4,2,0,3,3,2,1153.0,5,0.0,408.0,1561.0,1,0,1,4,1561,0,0,1561,1.0,0.0,2,0,2,1,0,6,6,1,2,1,2005.0,0,2.0,556.0,4,4,2,203,47,0,0,0,0,0,8,2007,8,4,858,33,18045,0.0,65817,3122.0,1799833.0
35,36,60,3,108.0,13418,1,3,3,0,4,0,16,2,2,0,5,8,5,2004,2005,1,1,12,13,3,132.0,2,4,2,0,3,0,5,0.0,5,0.0,1117.0,1117.0,1,0,1,4,1132,1320,0,2452,0.0,0.0,3,1,4,1,2,9,6,1,2,3,2004.0,0,3.0,691.0,4,4,2,113,32,0,0,0,0,0,9,2006,8,4,1710,32,16032,0.0,107344,3351.0,0.0
36,37,20,3,112.0,10859,1,3,3,0,0,0,5,2,2,0,2,5,5,1994,1995,1,1,12,13,2,0.0,3,4,2,2,3,3,5,0.0,5,0.0,1097.0,1097.0,1,0,1,4,1097,0,0,1097,0.0,0.0,1,1,3,1,3,6,6,0,2,1,1995.0,2,2.0,672.0,4,4,2,392,64,0,0,0,0,0,6,2009,8,4,120,95,9970,2194.0,54295,2194.0,0.0
37,38,20,3,74.0,8532,1,3,3,0,4,0,12,2,2,0,2,5,6,1954,1990,3,1,13,14,1,650.0,3,4,1,3,3,3,4,1213.0,5,0.0,84.0,1297.0,1,2,1,4,1297,0,0,1297,0.0,1.0,1,0,3,1,3,5,6,1,4,1,1954.0,0,2.0,498.0,4,4,2,0,0,0,0,0,0,0,10,2009,8,4,407,14,9770,3891.0,42660,2594.0,1573261.0
38,39,20,3,68.0,7922,1,3,3,0,4,0,12,2,2,0,2,5,7,1953,2007,1,1,12,13,2,0.0,3,2,1,3,3,3,2,731.0,5,0.0,326.0,1057.0,1,4,1,4,1057,0,0,1057,1.0,0.0,1,0,3,1,2,5,6,0,2,5,1953.0,2,1.0,246.0,4,4,2,0,52,0,0,0,0,0,1,2010,8,0,72,14,9765,3171.0,39610,1057.0,772667.0
39,40,90,3,65.0,6040,1,3,3,0,4,0,7,2,2,2,2,4,5,1955,1955,1,1,0,10,2,0.0,3,4,2,3,3,3,5,0.0,5,0.0,0.0,0.0,1,4,0,2,1152,0,0,1152,0.0,0.0,2,0,2,2,1,6,6,0,2,1,1978.1134057971014,2,0.0,0.0,4,4,0,0,0,0,0,0,0,0,6,2008,8,1,202,109,7820,0.0,24160,0.0,0.0
40,41,20,3,84.0,8658,1,3,3,0,4,0,12,2,2,0,2,6,5,1965,1965,1,1,13,14,1,101.0,3,4,1,3,3,3,4,643.0,5,0.0,445.0,1088.0,1,0,1,4,1324,0,0,1324,0.0,0.0,2,0,3,1,3,6,6,1,4,1,1965.0,1,2.0,440.0,4,4,2,0,138,0,0,0,0,0,12,2006,8,0,449,15,11790,3264.0,51948,2176.0,851332.0
41,42,20,3,115.0,16905,1,3,3,0,4,0,23,2,2,0,2,5,6,1959,1959,1,1,12,13,2,0.0,3,2,1,3,3,1,1,967.0,5,0.0,383.0,1350.0,1,2,1,4,1328,0,0,1328,0.0,1.0,1,1,2,1,3,5,6,2,2,1,1959.0,1,1.0,308.0,4,4,1,0,104,0,0,0,0,0,7,2007,8,4,456,70,9795,4050.0,84525,1350.0,1284176.0
42,43,85,3,69.30579531442663,9180,1,0,3,0,1,0,20,2,2,0,6,5,7,1983,1983,1,1,6,6,2,0.0,3,4,1,2,3,0,0,747.0,3,93.0,0.0,840.0,1,2,1,4,884,0,0,884,1.0,0.0,1,0,2,1,2,5,6,0,2,1,1983.0,1,2.0,504.0,4,2,2,240,0,0,0,0,0,0,12,2007,8,4,1974,55,9915,1680.0,45900,1680.0,660348.0
43,44,20,3,69.30579531442663,9200,1,0,3,0,1,0,5,2,2,0,2,5,6,1975,1980,3,1,12,13,2,0.0,3,4,1,2,3,0,3,280.0,1,491.0,167.0,938.0,1,4,1,4,938,0,0,938,1.0,0.0,1,0,3,1,3,5,6,0,2,5,1977.0,2,1.0,308.0,4,4,2,145,0,0,0,0,0,0,7,2008,8,4,2029,95,9875,1876.0,46000,938.0,262640.0
44,45,20,3,70.0,7945,1,3,3,0,4,0,12,2,2,0,2,5,6,1959,1959,1,1,3,14,2,0.0,3,4,1,3,3,3,0,179.0,1,506.0,465.0,1150.0,1,0,1,0,1150,0,0,1150,1.0,0.0,1,0,3,1,3,6,6,0,2,1,1959.0,1,1.0,300.0,4,4,2,0,0,0,0,0,0,0,5,2006,8,4,200,14,9795,3450.0,39725,1150.0,205850.0
45,46,120,3,61.0,7658,1,3,3,0,4,0,16,2,2,4,2,9,5,2005,2005,3,1,8,8,1,412.0,0,4,2,0,3,3,2,456.0,5,0.0,1296.0,1752.0,1,0,1,4,1752,0,0,1752,1.0,0.0,2,0,2,1,0,6,6,1,2,1,2005.0,1,2.0,576.0,4,4,2,196,82,0,0,0,0,0,2,2010,8,4,1186,33,18045,0.0,68922,3504.0,798912.0
46,47,50,3,48.0,12822,1,0,3,0,1,0,11,2,2,0,0,7,5,2003,2003,1,1,12,13,2,0.0,2,4,2,0,3,3,2,1351.0,5,0.0,83.0,1434.0,1,0,1,4,1518,631,0,2149,1.0,0.0,1,1,1,1,2,6,6,1,0,1,2003.0,1,2.0,670.0,4,4,2,168,43,0,0,198,0,0,8,2009,8,0,1573,10,14021,0.0,89754,2868.0,2903299.0
47,48,20,1,84.0,11096,1,3,3,0,4,0,21,2,2,0,2,8,5,2006,2006,1,1,12,13,2,0.0,2,4,2,2,3,0,2,24.0,5,0.0,1632.0,1656.0,1,0,1,4,1656,0,0,1656,0.0,0.0,2,0,3,1,2,7,6,0,2,1,2006.0,1,3.0,826.0,4,4,2,0,146,0,0,0,0,0,7,2007,8,4,1028,63,16048,3312.0,88768,4968.0,39744.0
48,49,190,4,33.0,4456,1,3,3,0,4,0,17,2,2,1,5,4,5,1920,2008,1,1,8,8,2,0.0,3,4,0,3,3,3,5,0.0,5,0.0,736.0,736.0,1,2,1,4,736,716,0,1452,0.0,0.0,2,0,2,3,3,8,6,0,2,1,1978.1134057971014,2,0.0,0.0,4,4,0,0,0,102,0,0,0,0,6,2009,6,5,666,37,7680,2208.0,17824,0.0,0.0
49,50,20,3,66.0,7742,1,3,3,0,4,0,19,2,2,0,2,5,7,1966,1966,1,1,6,6,2,0.0,3,4,1,3,3,3,1,763.0,5,0.0,192.0,955.0,1,0,1,4,955,0,0,955,1.0,0.0,1,0,3,1,3,6,6,0,2,1,1966.0,2,1.0,386.0,4,4,2,0,0,0,0,0,0,0,1,2007,8,4,2046,49,9830,2865.0,38710,955.0,728665.0
50,51,60,3,69.30579531442663,13869,1,1,3,0,0,0,8,2,2,0,5,6,6,1997,1997,1,1,12,13,2,0.0,3,4,2,2,3,0,2,182.0,5,0.0,612.0,794.0,1,2,1,4,794,676,0,1470,0.0,1.0,2,0,3,1,3,6,6,0,2,1,1997.0,0,2.0,388.0,4,4,2,0,75,0,0,0,0,0,7,2007,8,4,696,116,11982,1588.0,83214,1588.0,267540.0
51,52,50,4,52.0,6240,1,3,3,0,4,0,3,2,2,0,0,6,6,1934,1950,1,1,13,14,2,0.0,3,4,2,3,3,3,5,0.0,5,0.0,816.0,816.0,1,4,1,4,816,0,360,1176,0.0,0.0,1,0,3,1,3,6,6,1,2,5,1985.0,2,2.0,528.0,4,4,2,112,0,0,0,0,0,400,9,2006,8,4,229,87,11604,2448.0,37440,1632.0,0.0
52,53,90,4,110.0,8472,0,1,0,0,0,1,9,8,2,2,2,5,5,1963,1963,1,1,13,14,2,0.0,1,4,1,2,3,1,3,104.0,2,712.0,0.0,816.0,1,4,0,4,816,0,0,816,1.0,0.0,1,0,2,1,3,5,6,0,2,4,1963.0,2,2.0,516.0,4,4,2,106,0,0,0,0,0,0,5,2010,8,4,1927,124,9815,1632.0,42360,1632.0,84864.0
53,54,20,3,68.0,50271,1,0,2,0,4,0,24,2,2,0,2,9,5,1981,1987,1,7,14,15,2,0.0,2,4,1,0,3,1,2,1810.0,5,0.0,32.0,1842.0,1,2,1,4,1842,0,0,1842,2.0,0.0,0,1,0,1,2,5,6,1,2,1,1981.0,0,3.0,894.0,4,4,2,857,72,0,0,0,0,0,11,2006,8,4,1308,79,17829,0.0,452439,5526.0,3334020.0
54,55,80,3,60.0,7134,1,3,0,0,4,1,12,2,2,0,7,5,5,1955,1955,1,1,8,8,2,0.0,3,4,1,3,3,3,0,384.0,5,0.0,0.0,384.0,1,4,1,4,1360,0,0,1360,0.0,0.0,1,0,3,1,3,6,2,1,4,5,1962.0,2,2.0,572.0,4,4,2,0,50,0,0,0,0,0,2,2007,8,4,517,14,9775,1152.0,35670,768.0,522240.0
55,56,20,3,100.0,10175,1,0,3,0,4,0,12,2,2,0,2,6,5,1964,1964,1,1,6,10,1,272.0,3,4,1,3,3,3,1,490.0,5,0.0,935.0,1425.0,1,2,1,4,1425,0,0,1425,0.0,0.0,2,0,3,1,3,7,6,1,2,1,1964.0,1,2.0,576.0,4,4,2,0,0,0,407,0,0,0,7,2008,8,4,620,15,11784,4275.0,61050,2850.0,698250.0
56,57,160,1,24.0,2645,1,3,3,0,4,0,21,2,2,3,5,8,5,1999,2000,1,1,8,8,1,456.0,2,4,2,2,3,3,2,649.0,5,0.0,321.0,970.0,1,0,1,4,983,756,0,1739,1.0,0.0,2,1,3,1,2,7,6,0,2,1,1999.0,0,2.0,480.0,4,4,2,115,0,0,0,0,0,0,8,2009,8,0,1171,63,15992,1940.0,21160,1940.0,1128611.0
57,58,60,3,89.0,11645,1,0,3,0,0,0,5,2,2,0,5,7,5,2004,2004,1,1,12,13,2,0.0,2,4,2,2,3,3,5,0.0,5,0.0,860.0,860.0,1,0,1,4,860,860,0,1720,0.0,0.0,2,1,3,1,2,7,6,0,2,1,2004.0,1,2.0,565.0,4,4,2,0,70,0,0,0,0,0,8,2006,8,4,1143,97,14028,1720.0,81515,1720.0,0.0
58,59,60,3,66.0,13682,1,1,1,0,1,0,22,2,2,0,5,10,5,2006,2006,3,1,12,13,1,1031.0,0,4,2,0,3,1,5,0.0,5,0.0,1410.0,1410.0,1,0,1,4,1426,1519,0,2945,0.0,0.0,3,1,3,1,2,10,6,1,2,3,2006.0,0,3.0,641.0,4,4,2,192,0,37,0,0,0,0,10,2006,6,5,1827,65,20060,0.0,136820,4230.0,0.0
59,60,20,3,60.0,7200,1,3,0,0,4,0,5,2,2,0,2,5,7,1972,1972,1,1,6,6,2,0.0,3,4,1,3,3,0,0,632.0,5,0.0,148.0,780.0,1,0,1,4,780,0,0,780,0.0,0.0,1,0,2,1,3,4,6,0,2,5,1973.0,2,1.0,352.0,4,4,2,196,0,0,0,0,0,0,1,2008,8,4,1906,95,9860,2340.0,36000,780.0,492960.0
60,61,20,3,63.0,13072,1,3,3,0,4,0,20,5,2,0,2,6,5,2004,2004,1,1,12,13,2,0.0,3,4,2,2,3,3,0,941.0,5,0.0,217.0,1158.0,1,0,1,4,1158,0,0,1158,1.0,0.0,1,1,3,1,2,5,6,0,2,5,2006.0,2,2.0,576.0,4,4,2,0,50,0,0,0,0,0,5,2006,6,5,208,56,12024,2316.0,78432,2316.0,1089678.0
